小分类,题目,答案
strisce e pannelli retroriflettenti,Nella parte posteriore degli autobus deve essere apposto un segnale che indica la velocità minima consentita,F
strisce e pannelli retroriflettenti,Nella parte posteriore delle autovetture deve essere apposto un segnale che indica la velocità massima consentita,F
strisce e pannelli retroriflettenti,I caravan (roulottes) devono essere muniti posteriormente di strisce retroriflettenti di colore rosso o giallo,F
strisce e pannelli retroriflettenti,"Gli autobus devono essere muniti, nella parte posteriore di strisce retroriflettenti di colore rosso o bianco",F
strisce e pannelli retroriflettenti,"Il pannello in figura è installato posteriormente ai rimorchi o semirimorchi con massa a pieno carico superiore a 3,5 tonnellate",F
"motocicli, significato e caratteristiche",I motocicli sono veicoli a due ruote,V
"motocicli, significato e caratteristiche",I motocicli hanno cilindrata superiore a 50 cm3,V
"motocicli, significato e caratteristiche",I ciclomotori non rientrano nella categoria dei motocicli,V
"motocicli, significato e caratteristiche",I motocicli possono essere dotati di cambio automatico,V
"motocicli, significato e caratteristiche","I motocicli sono soggetti a revisione dopo quattro anni dalla prima immatricolazione, successivamente ogni due anni",V
"motocicli, significato e caratteristiche",Tutti i veicoli a motore con tre ruote sono dei motocicli,F
"motocicli, significato e caratteristiche",I motocicli sono veicoli a motore con più di due ruote,F
"motocicli, significato e caratteristiche",Il motociclo è un qualunque veicolo a due ruote,F
"motocicli, significato e caratteristiche",Si definiscono motocicli solo i veicoli a due ruote di cilindrata fino a 125 cm3,F
"motocicli, significato e caratteristiche",I motocicli hanno motore di cilindrata fino a 50 cm3 e sviluppano una velocità fino a 45 km/h,F
"motocicli, significato e caratteristiche",Ai fini della circolazione i quadricicli leggeri sono assimilati ai motocicli,F
autoveicoli,"Gli autoveicoli sono veicoli a motore con almeno quattro ruote, esclusi i quadricicli",V
autoveicoli,"L'autoveicolo è un veicolo a motore con non meno di quattro ruote, eccetto i quadricicli",V
autoveicoli,L'autobus viene classificato autoveicolo,V
autoveicoli,L'autocarro è un autoveicolo,V
autoveicoli,I quadricicli non sono autoveicoli,V
autoveicoli,"Gli autoveicoli sono tutti i veicoli a motore con quattro o più ruote, compresi i quadricicli",F
autoveicoli,Gli autoveicoli sono tutti i veicoli con almeno due ruote,F
autoveicoli,"Gli autoveicoli sono tutti i veicoli con almeno quattro ruote, compresi quelli senza motore",F
autoveicoli,Il triciclo a motore è un autoveicolo,F
autoveicoli,L'autoveicolo è un qualunque veicolo a motore,F
autoveicoli,L'autoveicolo è un qualunque veicolo adibito al trasporto di merce,F
autovetture,"L'autovettura è un veicolo a motore con quattro ruote, destinato al trasporto di massimo nove persone, compreso il conducente",V
autovetture,L'autovettura fa parte degli autoveicoli,V
autovetture,"L'autovettura non può avere più di nove posti, compreso il conducente",V
autovetture,L'autobus non è un'autovettura,V
autovetture,Le autovetture possono avere motore elettrico,V
autovetture,Le autovetture sono soggette a revisione periodica,V
autovetture,Si definiscono autovetture tutti i veicoli a motore che hanno la trazione posteriore,F
autovetture,Le autovetture non possono trainare carrelli-appendice o rimorchi,F
autovetture,Vengono definite autovetture tutti i veicoli con motore anteriore,F
autovetture,"L'autovettura è un veicolo con dieci posti in totale, compreso il conducente",F
autovetture,Si definisce autovettura il veicolo blindato e appositamente attrezzato per il trasporto di valori,F
autovetture,L'autocarro è un'autovettura,F
autovetture,"L'autovettura può avere, al massimo, cinque posti",F
autovetture,Le autovetture sono soggette a revisione ogni cinque anni,F
"rimorchi, significato e caratteristiche","I rimorchi o i semirimorchi sono veicoli privi di motore, destinati ad essere trainati",V
"rimorchi, significato e caratteristiche",I rimorchi leggeri sono quelli di massa massima a pieno carico fino a 750 kg,V
"rimorchi, significato e caratteristiche",L'autosnodato non è classificato rimorchio,V
"rimorchi, significato e caratteristiche",L'autocaravan non è un rimorchio,V
"rimorchi, significato e caratteristiche",Il caravan non è un rimorchio,F
"rimorchi, significato e caratteristiche",I rimorchi leggeri sono quelli di massa massima a pieno carico fino a 500 kg,F
"rimorchi, significato e caratteristiche",I semirimorchi sono rimorchi privi di impianto frenante,F
"rimorchi, significato e caratteristiche",I rimorchi sono muniti di silenziatore,F
traffico intenso,Bisogna lasciare liberi gli incroci in caso di traffico intenso,V
traffico intenso,Bisogna lasciare liberi i passaggi a livello e i binari del tram anche in caso di traffico intenso,V
traffico intenso,Bisogna lasciare liberi gli attraversamenti pedonali e quelli ciclabili in caso di formazione di code di veicoli,V
traffico intenso,"Bisogna lasciare libere le immissioni stradali (incroci, confluenze, ingressi dei parcheggi, ecc.) anche in caso di traffico intenso",V
traffico intenso,Bisogna lasciare liberi solo gli incroci regolati da semaforo in caso di formazione di code di veicoli,F
traffico intenso,Bisogna lasciare liberi i cavalcavia in caso di traffico intenso,F
traffico intenso,Bisogna lasciare libere le gallerie in caso di formazione di code di veicoli,F
traffico intenso,Bisogna lasciare liberi gli ingressi delle abitazioni private in caso di formazione di code di veicoli,F
traffico intenso,Bisogna lasciare liberi i sottovia in caso di traffico intenso,F
file di veicoli,"Quando si viaggia in fila con altri veicoli, non bisogna limitarsi a osservare solamente il veicolo che precede, ma occorre porre attenzione anche in lontananza, per controllare la situazione del traffico",V
file di veicoli,"Per agevolare il traffico, è opportuno lasciare liberi gli sbocchi delle strade laterali quando si viaggia dietro ad una fila di veicoli",V
file di veicoli,"Quando si viaggia in fila con altri veicoli, bisogna mantenere ugualmente la distanza di sicurezza",V
file di veicoli,"Per una maggiore sicurezza, quando si viaggia in fila con altri veicoli, è opportuno non avvicinarsi troppo al veicolo che precede",V
file di veicoli,"Per una maggiore sicurezza, quando nei centri urbani si viaggia in fila con altri veicoli, è opportuno tenere sempre accese le luci di emergenza",F
file di veicoli,Quando si viaggia in fila con altri veicoli è consentito distrarsi se si è a bassa velocità,F
file di veicoli,"Quando si viaggia dietro in fila con altri veicoli, è opportuno spostarsi il più possibile a sinistra, per creare una corsia libera a destra",F
file di veicoli,"Quando si viaggia in fila con altri veicoli, è opportuno spostarsi al centro della carreggiata, per controllare la situazione del traffico",F
file di veicoli,"Anche in condizioni di scarsa visibilità quando si viaggia dietro ad un veicolo che solleva polvere, conviene sorpassarlo subito",F
centri abitati,Entrando in un centro abitato bisogna tenere conto che può cambiare spesso la precedenza agli incroci,V
centri abitati,"Entrando in un centro abitato, bisogna tenere conto che il flusso della circolazione viene spesso intralciato o interrotto da veicoli che sono fermi, che partono o che cambiano direzione",V
centri abitati,"Entrati in un centro abitato, bisogna tenere conto che gli altri utenti della strada (quali pedoni e ciclisti) si mescolano maggiormente con il traffico motorizzato",V
centri abitati,"In un centro abitato bisogna essere più attenti, prudenti e tolleranti, a causa del maggior numero di utenti che interagiscono nell'ambiente urbano",V
centri abitati,"Entrando in un centro abitato, bisogna continuare a mantenere la concentrazione alla guida anche se potrebbero aumentare i motivi per distrarsi",V
centri abitati,"Entrando in un centro abitato, bisogna considerare che è possibile sostare in corrispondenza di incroci non regolati",F
centri abitati,In un centro abitato è sempre consentita la marcia per file parallele,F
centri abitati,"In un centro abitato, bisogna considerare che i pedoni e i diversamente abili devono sempre dare la precedenza ai veicoli a motore",F
spostamenti segnaletica stradale,È vietato spostare o imbrattare la segnaletica stradale,V
spostamenti segnaletica stradale,È vietato rimuovere la segnaletica stradale,V
spostamenti segnaletica stradale,Spostare la segnaletica stradale può comportare pericolo grave per gli altri utenti della strada,V
spostamenti segnaletica stradale,"E' consentito spostare la segnaletica stradale, se non si tratta di segnali di pericolo",F
spostamenti segnaletica stradale,"E' consentito spostare la segnaletica stradale, dopo aver avvisato gli organi di polizia",F
spostamenti segnaletica stradale,"E' consentito spostare la segnaletica stradale, se si tratta delle barriere di delimitazione o dei coni stradali",F
gare di velocità,Sulle strade è vietato gareggiare in velocità,V
gare di velocità,Il conducente che partecipa a gare di velocità non autorizzate su aree pubbliche è punito con la reclusione,V
gare di velocità,E' punito con la reclusione il conducente che gareggia in velocità su strade pubbliche,V
gare di velocità,E' punito con la reclusione chi scommette su veicoli che partecipano a gare di velocità non autorizzate su strade pubbliche,V
gare di velocità,Le competizioni sportive con veicoli su aree pubbliche sono consentite senza autorizzazione,F
gare di velocità,"Sulle strade pubbliche sono consentite le gare di velocità, anche se non autorizzate, dalle ore 23.00 alle ore 6.00",F
gare di velocità,"Sono consentite le gare di velocità, anche se non autorizzate, purché partecipino solo due autovetture",F
gare di velocità,"Sulle strade pubbliche sono consentite le gare di velocità, anche se non autorizzate, tra motocicli e non tra autoveicoli",F
inquinamento delle strade,E' vietato lanciare dal finestrino mozziconi di sigaretta accesi,V
inquinamento delle strade,Gettare mozziconi di sigaretta accesi dai finestrini è molto pericoloso soprattutto se sopraggiungono veicoli a due ruote,V
inquinamento delle strade,Gettare mozziconi accesi dai finestrini in prossimità di boschi o aree verdi potrebbe causare incendi,V
inquinamento delle strade,E' vietato spargere fango o detriti sulle strade con le ruote sporche dei veicoli,V
inquinamento delle strade,Il conducente che si accorge che il suo veicolo perde olio deve compiere tutte le azioni necessarie per evitare pericoli per altri utenti,V
